,Ingredient,id,cal/g,fat(g),carb(g),protein(g),vit_a,vit_c,iron,trans_fat,sat_fat,cholesterol,sodium,carbs,fiber,sugars,calcium,protein,energy,fdcID
328,nopales,539,0.16,0.001,0.033,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,nougat,255,3.99,0.016,0.924,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,nut cheese,553,2.1,0.101,0.04,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,nutrition bars,447,4.0,0.098,0.4,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,nuts,53,6.07,0.54,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,oatmeal,59,0.68,0.014,0.12,0.024,5556.0,0.04226869455006337,24.0,0.0,0.0,0.0,0.00697084917617237,66.67,0.005640050697084918,0.0,0.21102661596958175,0.0,1578.0,1995469.0
334,oats,100,3.89,0.069,0.663,0.169,0.0,0.0,4.5,0.013333333333333334,0.0033333333333333335,0.0,0.0,67.5,0.02666666666666667,0.006666666666666667,0.0,0.03333333333333333,375.0,2020713.0
335,octopus,125,1.637,0.021,0.044,0.297,0.0,0.0,0.0,0.0,0.0,0.0,7.170731707317073,1.18,0.0,0.0,0.14634146341463414,0.20085365853658535,82.0,2383560.0
336,oil,555,8.864,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,okra,79,0.328,0.002,0.072,0.019,350.0,0.2727272727272727,0.54,0.0,0.0,0.0,0.06818181818181818,8.0,0.022727272727272728,0.0,1.8181818181818181,0.06818181818181818,44.0,475597.0
338,olive oil,161,8.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,olives,12,1.15,0.107,0.063,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,omelets,279,1.54,0.117,0.006,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,onion rings,269,4.106,0.253,0.438,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,onions,94,0.4,0.001,0.09,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,orange,58,0.47,0.001,0.12,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,orange juice,498,0.47,0.001,0.11,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,orange with peel,537,0.294,0.001,0.075,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,oregano,519,2.7,0.04,0.69,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,orzo,533,2.25,0.009,0.458,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,oysters,232,1.989,0.128,0.117,0.088,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,0.0,0.2,0.0,0.0,125.0,2083799.0
349,paella,156,1.834,0.091,0.141,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,pancakes,331,2.266,0.096,0.284,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,papayas,445,0.43,0.003,0.11,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,parmesan cheese,148,4.307,0.286,0.042,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,parsley,524,0.371,0.008,0.064,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,parsnips,162,0.75,0.003,0.18,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,pasta,74,1.316,0.011,0.248,0.051,0.0,0.0,3.21,0.0,0.0,0.0,0.0,78.57,0.009600000000000001,0.009519999999999999,0.0,0.03333333333333333,375.0,465736.0
356,pasta salad,17,2.015,0.119,0.173,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,pasta sauce,226,0.292,0.002,0.069,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,pastrami,209,1.458,0.058,0.004,0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,pastries,127,5.508,0.384,0.452,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,pate nutrition,329,3.182,0.281,0.015,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,peach,344,0.388,0.003,0.095,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,peaches,271,0.393,0.003,0.095,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,peanut butter,313,5.895,0.503,0.194,0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,peanuts,336,5.675,0.492,0.161,0.253,0.0,0.0,2.57,0.0,0.012504378283712784,0.0,1.063047285464098,21.43,0.012434325744308231,0.006252189141856392,0.0,0.03753064798598949,571.0,2027332.0
365,pears,213,0.572,0.001,0.152,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,peas,374,0.84,0.002,0.16,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,pecan pie,235,4.123,0.218,0.525,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,pecans,82,6.9,0.72,0.14,0.09,0.0,0.0,0.0,0.0,0.009302649930264993,0.0,0.0,13.33,0.009344490934449093,0.004644351464435146,0.0,0.01394700139470014,717.0,1935002.0
369,pepper,312,0.4,0.002,0.093,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,pepperoni,297,4.936,0.438,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,pepperoni pizza,392,2.82,0.12,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,pesto,532,5.62,0.549,0.08,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,pickles,81,0.11,0.002,0.023,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,pie crust,302,2.367,0.11,0.345,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,pies,178,2.367,0.111,0.345,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,pilaf,413,1.592,0.049,0.256,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,pine nuts,222,6.646,0.685,0.126,0.132,0.0,0.0,5.14,0.0,0.007893961708394698,0.0,0.0,14.29,0.005301914580265096,0.005257731958762887,0.0,0.02104565537555228,679.0,2042268.0
378,pineapple,38,0.5,0.001,0.13,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,pinto beans,506,1.43,0.007,0.26,0.09,0.0,0.0,7.5,0.0,0.0,0.0,0.25149700598802394,61.11,0.23293413173652694,0.016646706586826345,0.6646706586826348,0.11640718562874253,167.0,1478888.0
380,pistachios,466,5.69,0.46,0.28,0.21,357.0,0.008022388059701492,3.86,0.0,0.01,0.0,1.0652985074626866,28.57,0.019962686567164177,0.01332089552238806,0.13246268656716417,0.03332089552238806,536.0,2011443.0
381,pita bread,220,2.75,0.011,0.558,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,pizza,380,2.66,0.097,0.33,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,pizza dough,549,2.355,0.047,0.417,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,pizza sauce,551,0.29,0.002,0.07,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,plate only,423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,plums,211,0.457,0.003,0.115,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,poached eggs,136,1.425,0.092,0.008,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,polenta,114,3.7,0.018,0.79,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,pomegranate,552,0.83,0.012,0.19,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,popcorn,258,3.745,0.043,0.74,0.11,0.0,0.0,1.85,0.0,0.0,0.0,0.0,56.41,0.036524822695035465,0.0,0.0,0.02726950354609929,282.0,1662277.0
391,pork,462,2.38,0.14,0.0,0.26,0.0,0.0,1.27,0.0,0.019915254237288137,76.0,1.7966101694915255,1.18,0.0,0.0,0.0,0.17949152542372881,118.0,1945366.0
392,pork chops,204,2.308,0.141,0.0,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,pot pies,266,1.982,0.113,0.189,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,potato bread,333,2.658,0.031,0.469,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,potato chips,61,5.36,0.35,0.53,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,potato salad,224,1.429,0.08,0.111,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,potato skins,404,3.4,0.26,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,potatoes,5,0.77,0.001,0.17,0.02,0.0,0.24594594594594593,0.73,0.0,0.0,0.0,0.0,17.57,0.0,0.009189189189189189,0.1891891891891892,0.02743243243243243,74.0,1611539.0
399,pretzels,103,3.803,0.026,0.804,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,protein powder,78,4.0,0.033,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,provolone cheese,295,3.519,0.266,0.022,0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,prunes,424,2.4,0.004,0.64,0.022,536.0,0.0,0.26,0.0,0.0,0.0,0.1937984496124031,30.71,0.02248062015503876,0.1273643410852713,0.2248062015503876,0.005503875968992248,129.0,2033920.0
403,puddings,304,1.197,0.032,0.198,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,pumpkin seeds,531,4.46,0.19,0.54,0.19,333.0,0.0,9.0,0.0,0.013883333333333333,0.0,0.028333333333333332,13.33,0.0055,0.0,0.0,0.03888333333333333,600.0,2027948.0
405,pumpkins,261,0.259,0.001,0.065,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,quesadillas,474,3.68,0.23,0.24,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,quiche,365,3.71,0.31,0.099,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,quinoa,377,1.2,0.019,0.21,0.044,714.0,0.03177570093457944,0.77,0.0,0.0033644859813084112,0.0,1.4672897196261683,20.0,0.019626168224299065,0.02,0.1308411214953271,0.02672897196261682,107.0,1858805.0
409,radishes,73,0.16,0.001,0.034,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,raisin bran,86,3.14,0.027,0.77,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,raisin bread,399,2.74,0.044,0.52,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,raisins,129,2.99,0.005,0.79,0.031,0.0,0.0,2.5,0.0,0.0,0.0,0.0,80.0,0.016666666666666666,0.2,0.16666666666666666,0.008333333333333333,300.0,596556.0
413,ranch dressing,289,4.837,0.505,0.068,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,raspberries,40,0.53,0.007,0.12,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,ravioli,184,0.771,0.015,0.138,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,red potatoes,432,0.89,0.001,0.2,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,refried beans,75,0.918,0.012,0.152,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,relish,467,1.3,0.005,0.35,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,ribs,284,3.513,0.281,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,rice,482,1.3,0.003,0.28,0.027,69.0,0.017985611510791366,1.88,0.0,0.0,0.0,3.3453237410071943,26.39,0.010071942446043165,0.009999999999999998,0.2014388489208633,0.02496402877697842,139.0,356554.0
421,rice cakes,454,3.885,0.028,0.81,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,rice noodles,180,1.09,0.002,0.25,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,risotto,360,1.22,0.039,0.16,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,roast beef,236,1.698,0.059,0.0,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,roast chicken,316,2.237,0.13,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,roast pork,345,2.918,0.212,0.0,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,roast turkey,361,1.89,0.074,0.001,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,roasted potatoes,433,1.41,0.068,0.18,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,rolls,250,3.089,0.065,0.521,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,romano cheese,286,3.874,0.273,0.036,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,root beer,327,0.415,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,rosemary,516,1.31,0.057,0.2,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,rum,309,2.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,rye bread,130,2.586,0.032,0.482,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,salad dressing,283,4.799,0.467,0.165,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,salads,197,1.523,0.097,0.148,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,salami,323,3.347,0.26,0.024,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,salmon,332,1.78,0.08,0.0,0.24,0.0,0.0,0.76,0.0,0.010603448275862069,56.0,0.27155172413793105,0.0,0.0,0.0,0.0603448275862069,0.0819396551724138,232.0,1028841.0
439,salsa,475,0.29,0.002,0.066,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,salt,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,samosas,461,2.62,0.17,0.24,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,sandwich cookies,293,4.697,0.202,0.704,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,sandwiches,273,2.329,0.13,0.179,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,sardines,265,2.031,0.111,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,sauerkraut,366,0.19,0.001,0.043,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,sausage,39,3.446,0.273,0.042,0.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,scallops,146,1.059,0.006,0.059,0.2,0.0,0.0,0.32,0.0,0.0,31.0,1.8089887640449438,2.68,0.0,0.0,0.25842696629213485,0.170561797752809,89.0,2384290.0
448,scones,241,3.525,0.162,0.447,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,scrambled eggs,8,1.48,0.11,0.016,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,seafood,138,2.044,0.081,0.018,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,seaweed,405,0.38,0.003,0.084,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,seeds,214,5.582,0.492,0.108,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,shallots,133,0.2,0.002,0.033,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,sherbet,406,1.44,0.02,0.3,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,shrimp,51,0.99,0.003,0.002,0.24,0.0,0.0,0.42,0.0,0.0,112.0,10.51063829787234,0.0,0.0,0.0,1.5106382978723405,0.2502127659574468,47.0,1899566.0
456,skim milk,165,0.34,0.001,0.049,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,smoked salmon,240,1.173,0.043,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,smoothies,234,0.383,0.0,0.084,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,snapper,373,1.28,0.017,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,snow peas,102,0.81,0.004,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,soft serve ice creams,268,2.234,0.13,0.222,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,sorbet,144,1.24,0.005,0.267,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,souffle,280,1.691,0.13,0.06,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,sour cream,434,1.98,0.19,0.046,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,sourdough bread,314,2.889,0.018,0.562,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,soy milk,299,0.534,0.017,0.061,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,soy nuts,354,4.49,0.22,0.29,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,soy sauce,508,0.53,0.006,0.049,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,soy sausage,554,2.02,0.144,0.063,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,soy yogurt,182,1.014,0.019,0.173,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,spaghetti,89,1.58,0.009,0.31,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,spinach (cooked),511,0.23,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,spinach (raw),36,0.23,0.004,0.036,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,spreads,292,2.357,0.171,0.12,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,spring rolls,108,1.543,0.08,0.043,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,squash,21,0.205,0.003,0.034,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,squid,215,1.751,0.07,0.081,0.178,182.0,0.0,1.31,0.0,0.012522935779816514,27.0,2.9174311926605503,3.64,0.0,0.0,0.3348623853211009,0.06674311926605504,218.0,1765580.0
478,steak,10,2.71,0.19,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,stews,411,1.06,0.032,0.082,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,stout beer,446,0.45,0.0,0.015,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,strawberries,2,0.33,0.003,0.08,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,string cheese,395,3.0,0.22,0.022,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,strudels,104,3.182,0.108,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,stuffing,307,3.854,0.035,0.767,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,succotash,137,0.99,0.01,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,sugar,328,3.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,sun dried tomatoes,457,2.58,0.03,0.56,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,sundaes,296,1.799,0.053,0.302,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,sunflower seeds,364,5.46,0.5,0.15,0.19,0.0,0.0,3.0,0.0,0.0088339222614841,0.0,0.3250883392226148,10.0,0.0176678445229682,0.005901060070671378,0.23674911660777384,0.041236749116607775,283.0,1879738.0
490,sushi,149,1.43,0.004,0.299,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,sweet potato,437,0.76,0.0,0.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,sweet rolls,478,2.73,0.063,0.46,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
